date,datetime,fee
2019-01-01,2019-01-01 23:42:03,15
2019-01-02,2019-01-02 23:56:42,15
2019-01-03,2019-01-03 23:23:21,15
2019-01-04,2019-01-04 23:46:02,15
2019-01-05,2019-01-05 23:57:36,15
2019-01-06,2019-01-06 23:32:01,15
2019-01-07,2019-01-07 23:57:56,15
2019-01-08,2019-01-08 23:50:57,15
2019-01-09,2019-01-09 23:36:09,15
2019-01-10,2019-01-10 23:36:20,15
2019-01-11,2019-01-11 23:43:38,15
2019-01-12,2019-01-12 23:36:50,15
2019-01-13,2019-01-13 23:48:27,15
2019-01-14,2019-01-14 23:56:13,15
2019-01-15,2019-01-15 23:30:39,15
2019-01-16,2019-01-16 23:47:38,15
2019-01-17,2019-01-17 23:56:29,15
2019-01-18,2019-01-18 23:58:50,15
2019-01-19,2019-01-19 23:56:56,15
2019-01-20,2019-01-20 23:47:42,15
2019-01-21,2019-01-21 23:13:06,15
2019-01-22,2019-01-22 23:38:17,15
2019-01-23,2019-01-23 23:57:53,15
2019-01-24,2019-01-24 23:53:05,15
2019-01-25,2019-01-25 23:40:25,15
2019-01-26,2019-01-26 23:59:13,15
2019-01-27,2019-01-27 23:46:21,15
2019-01-28,2019-01-28 23:43:30,15
2019-01-29,2019-01-29 23:58:18,15
2019-01-30,2019-01-30 23:55:48,15
2019-01-31,2019-01-31 23:56:42,15
2019-02-01,2019-02-01 23:59:27,15
2019-02-02,2019-02-02 23:42:50,15
2019-02-03,2019-02-03 23:59:30,15
2019-02-04,2019-02-04 23:50:34,15
2019-02-05,2019-02-05 23:55:58,15
2019-02-06,2019-02-06 23:49:09,15
2019-02-07,2019-02-07 23:58:54,15
2019-02-08,2019-02-08 23:56:00,15
2019-02-09,2019-02-09 23:55:38,15
2019-02-10,2019-02-10 23:44:27,15
2019-02-11,2019-02-11 23:54:52,15
2019-02-12,2019-02-12 23:55:25,15
2019-02-13,2019-02-13 23:59:05,15
2019-02-14,2019-02-14 23:58:02,15
2019-02-15,2019-02-15 23:50:42,15
2019-02-16,2019-02-16 23:59:21,15
2019-02-17,2019-02-17 23:45:11,15
2019-02-18,2019-02-18 23:44:28,15
2019-02-19,2019-02-19 23:59:37,15
2019-02-20,2019-02-20 23:47:03,15
2019-02-21,2019-02-21 23:54:14,15
2019-02-22,2019-02-22 23:51:58,15
2019-02-23,2019-02-23 23:57:37,15
2019-02-24,2019-02-24 23:58:49,15
2019-02-25,2019-02-25 23:50:06,15
2019-02-26,2019-02-26 23:50:40,15
2019-02-27,2019-02-27 23:52:04,15
2019-02-28,2019-02-28 23:58:31,15
2019-03-01,2019-03-01 23:58:55,15
2019-03-02,2019-03-02 23:56:08,15
2019-03-03,2019-03-03 23:49:14,15
2019-03-04,2019-03-04 23:40:41,15
2019-03-05,2019-03-05 22:50:01,15
2019-03-06,2019-03-06 23:52:15,15
2019-03-07,2019-03-07 23:56:49,15
